t= 2.252249E-15	r= 3.025530E-09	r'= 1.254679E+08	r''= 2.070983E+25	th= 6.537557E-01	th'= 1.264532E+17
t= 2.254499E-15	r= 3.748066E-09	r'= 1.856456E+08	r''= 7.418172E+24	th= 1.119337E+00	th'= 8.239964E+16
t= 2.256749E-15	r= 4.634300E-09	r'= 2.039889E+08	r''= 1.669097E+24	th= 1.420221E+00	th'= 5.389728E+16
t= 2.258999E-15	r= 5.560322E-09	r'= 2.060533E+08	r''= -3.979555E+23	th= 1.622432E+00	th'= 3.743943E+16
t= 2.261249E-15	r= 6.480466E-09	r'= 2.023760E+08	r''= -1.107647E+24	th= 1.766925E+00	th'= 2.756205E+16
t= 2.263499E-15	r= 7.378987E-09	r'= 1.968120E+08	r''= -1.316666E+24	th= 1.875789E+00	th'= 2.125820E+16
t= 2.265749E-15	r= 8.251153E-09	r'= 1.908039E+08	r''= -1.334920E+24	th= 1.961291E+00	th'= 1.700151E+16
t= 2.267999E-15	r= 9.096405E-09	r'= 1.849033E+08	r''= -1.280699E+24	th= 2.030655E+00	th'= 1.398862E+16
t= 2.270249E-15	r= 9.915762E-09	r'= 1.793136E+08	r''= -1.201567E+24	th= 2.088378E+00	th'= 1.177228E+16
t= 2.272499E-15	r= 1.071079E-08	r'= 1.740964E+08	r''= -1.117227E+24	th= 2.137403E+00	th'= 1.008945E+16
t= 2.274749E-15	r= 1.148320E-08	r'= 1.692539E+08	r''= -1.035786E+24	th= 2.179738E+00	th'= 8.777766E+15
t= 2.276999E-15	r= 1.223462E-08	r'= 1.647651E+08	r''= -9.603304E+23	th= 2.216802E+00	th'= 7.732642E+15
t= 2.279249E-15	r= 1.296657E-08	r'= 1.606006E+08	r''= -8.917332E+23	th= 2.249627E+00	th'= 6.884257E+15
t= 2.281499E-15	r= 1.368046E-08	r'= 1.567293E+08	r''= -8.299014E+23	th= 2.278984E+00	th'= 6.184508E+15
t= 2.283749E-15	r= 1.437754E-08	r'= 1.531220E+08	r''= -7.743467E+23	th= 2.305460E+00	th'= 5.599343E+15
t= 2.285999E-15	r= 1.505892E-08	r'= 1.497517E+08	r''= -7.244486E+23	th= 2.329513E+00	th'= 5.104084E+15
t= 2.288249E-15	r= 1.572563E-08	r'= 1.465944E+08	r''= -6.795743E+23	th= 2.351504E+00	th'= 4.680466E+15
t= 2.290499E-15	r= 1.637856E-08	r'= 1.436288E+08	r''= -6.391312E+23	th= 2.371724E+00	th'= 4.314724E+15
t= 2.292749E-15	r= 1.701855E-08	r'= 1.408363E+08	r''= -6.025853E+23	th= 2.390408E+00	th'= 3.996309E+15
t= 2.294999E-15	r= 1.764632E-08	r'= 1.382004E+08	r''= -5.694664E+23	th= 2.407750E+00	th'= 3.717022E+15
t= 2.297249E-15	r= 1.826257E-08	r'= 1.357065E+08	r''= -5.393639E+23	th= 2.423910E+00	th'= 3.470402E+15
t= 2.299499E-15	r= 1.886788E-08	r'= 1.333421E+08	r''= -5.119220E+23	th= 2.439025E+00	th'= 3.251298E+15
t= 2.301749E-15	r= 1.946282E-08	r'= 1.310957E+08	r''= -4.868328E+23	th= 2.453207E+00	th'= 3.055561E+15
t= 2.303999E-15	r= 2.004791E-08	r'= 1.289574E+08	r''= -4.638297E+23	th= 2.466555E+00	th'= 2.879814E+15
t= 2.306249E-15	r= 2.062359E-08	r'= 1.269184E+08	r''= -4.426818E+23	th= 2.479151E+00	th'= 2.721282E+15
t= 2.308499E-15	r= 2.119031E-08	r'= 1.249708E+08	r''= -4.231888E+23	th= 2.491069E+00	th'= 2.577670E+15
t= 2.310749E-15	r= 2.174846E-08	r'= 1.231075E+08	r''= -4.051764E+23	th= 2.502370E+00	th'= 2.447061E+15
t= 2.312999E-15	r= 2.229840E-08	r'= 1.213222E+08	r''= -3.884925E+23	th= 2.513110E+00	th'= 2.327846E+15
t= 2.315249E-15	r= 2.284047E-08	r'= 1.196092E+08	r''= -3.730043E+23	th= 2.523336E+00	th'= 2.218664E+15
t= 2.317499E-15	r= 2.337498E-08	r'= 1.179635E+08	r''= -3.585950E+23	th= 2.533091E+00	th'= 2.118355E+15
t= 2.319749E-15	r= 2.390223E-08	r'= 1.163804E+08	r''= -3.451619E+23	th= 2.542413E+00	th'= 2.025928E+15
t= 2.321999E-15	r= 2.442249E-08	r'= 1.148557E+08	r''= -3.326146E+23	th= 2.551335E+00	th'= 1.940532E+15
