t= 6.756749E-15	r= 4.670936E-09	r'= 2.098989E+08	r''= 1.539095E+24	th= 1.433550E+00	th'= 5.305521E+16
t= 6.763499E-15	r= 7.488175E-09	r'= 2.019282E+08	r''= -1.325763E+24	th= 1.878840E+00	th'= 2.064279E+16
t= 6.770249E-15	r= 1.009438E-08	r'= 1.845428E+08	r''= -1.182883E+24	th= 2.084644E+00	th'= 1.135936E+16
t= 6.776999E-15	r= 1.248576E-08	r'= 1.702934E+08	r''= -9.362144E+23	th= 2.208273E+00	th'= 7.424694E+15
t= 6.783749E-15	r= 1.470554E-08	r'= 1.589812E+08	r''= -7.497994E+23	th= 2.293217E+00	th'= 5.352344E+15
t= 6.790499E-15	r= 1.678788E-08	r'= 1.498144E+08	r''= -6.154209E+23	th= 2.356429E+00	th'= 4.106887E+15
t= 6.797249E-15	r= 1.875752E-08	r'= 1.422048E+08	r''= -5.167766E+23	th= 2.406003E+00	th'= 3.289672E+15
t= 6.803999E-15	r= 2.063261E-08	r'= 1.357529E+08	r''= -4.423618E+23	th= 2.446348E+00	th'= 2.718906E+15
t= 6.810749E-15	r= 2.242683E-08	r'= 1.301857E+08	r''= -3.847401E+23	th= 2.480097E+00	th'= 2.301263E+15
t= 6.817499E-15	r= 2.415074E-08	r'= 1.253113E+08	r''= -3.390841E+23	th= 2.508933E+00	th'= 1.984451E+15
t= 6.824249E-15	r= 2.581272E-08	r'= 1.209912E+08	r''= -3.021852E+23	th= 2.533988E+00	th'= 1.737134E+15
t= 6.830999E-15	r= 2.741954E-08	r'= 1.171228E+08	r''= -2.718514E+23	th= 2.556058E+00	th'= 1.539502E+15
t= 6.837749E-15	r= 2.897672E-08	r'= 1.136286E+08	r''= -2.465451E+23	th= 2.575719E+00	th'= 1.378484E+15
t= 6.844499E-15	r= 3.048892E-08	r'= 1.104485E+08	r''= -2.251618E+23	th= 2.593402E+00	th'= 1.245133E+15
t= 6.851249E-15	r= 3.196004E-08	r'= 1.075352E+08	r''= -2.068906E+23	th= 2.609434E+00	th'= 1.133144E+15
t= 6.857999E-15	r= 3.339341E-08	r'= 1.048512E+08	r''= -1.911241E+23	th= 2.624072E+00	th'= 1.037954E+15
t= 6.864749E-15	r= 3.479191E-08	r'= 1.023657E+08	r''= -1.774001E+23	th= 2.637519E+00	th'= 9.561869E+14
