t= 2.027025E-14	r= 1.017597E-08	r'= 1.869265E+08	r''= -1.174267E+24	th= 2.082916E+00	th'= 1.117791E+16
t= 2.029050E-14	r= 1.697453E-08	r'= 1.526250E+08	r''= -6.050070E+23	th= 2.349660E+00	th'= 4.017069E+15
t= 2.031075E-14	r= 2.273538E-08	r'= 1.333845E+08	r''= -3.759363E+23	th= 2.470334E+00	th'= 2.239224E+15
t= 2.033100E-14	r= 2.786451E-08	r'= 1.206525E+08	r''= -2.642432E+23	th= 2.544079E+00	th'= 1.490726E+15
t= 2.035125E-14	r= 3.255395E-08	r'= 1.113549E+08	r''= -2.001321E+23	th= 2.595649E+00	th'= 1.092176E+15
t= 2.037150E-14	r= 3.691203E-08	r'= 1.041339E+08	r''= -1.592298E+23	th= 2.634605E+00	th'= 8.495001E+14
t= 2.039175E-14	r= 4.100721E-08	r'= 9.828606E+07	r''= -1.311701E+23	th= 2.665543E+00	th'= 6.883010E+14
t= 2.041200E-14	r= 4.488620E-08	r'= 9.340517E+07	r''= -1.108799E+23	th= 2.690990E+00	th'= 5.744775E+14
t= 2.043225E-14	r= 4.858263E-08	r'= 8.923746E+07	r''= -9.561117E+22	th= 2.712474E+00	th'= 4.903842E+14
t= 2.045250E-14	r= 5.212177E-08	r'= 8.561482E+07	r''= -8.375691E+22	th= 2.730977E+00	th'= 4.260494E+14
t= 2.047275E-14	r= 5.552320E-08	r'= 8.242066E+07	r''= -7.431984E+22	th= 2.747168E+00	th'= 3.754474E+14
t= 2.049300E-14	r= 5.880249E-08	r'= 7.957112E+07	r''= -6.665080E+22	th= 2.761521E+00	th'= 3.347392E+14
t= 2.051325E-14	r= 6.197227E-08	r'= 7.700406E+07	r''= -6.031040E+22	th= 2.774381E+00	th'= 3.013721E+14
t= 2.053350E-14	r= 6.504299E-08	r'= 7.467222E+07	r''= -5.499147E+22	th= 2.786007E+00	th'= 2.735879E+14
t= 2.055375E-14	r= 6.802340E-08	r'= 7.253896E+07	r''= -5.047321E+22	th= 2.796600E+00	th'= 2.501388E+14
t= 2.057400E-14	r= 7.092094E-08	r'= 7.057529E+07	r''= -4.659317E+22	th= 2.806315E+00	th'= 2.301170E+14
t= 2.059425E-14	r= 7.374198E-08	r'= 6.875795E+07	r''= -4.322935E+22	th= 2.815276E+00	th'= 2.128473E+14
t= 2.061450E-14	r= 7.649205E-08	r'= 6.706801E+07	r''= -4.028845E+22	th= 2.823586E+00	th'= 1.978176E+14
t= 2.063475E-14	r= 7.917599E-08	r'= 6.548986E+07	r''= -3.769801E+22	th= 2.831325E+00	th'= 1.846335E+14
t= 2.065500E-14	r= 8.179806E-08	r'= 6.401052E+07	r''= -3.540096E+22	th= 2.838562E+00	th'= 1.729862E+14
t= 2.067525E-14	r= 8.436203E-08	r'= 6.261904E+07	r''= -3.335175E+22	th= 2.845354E+00	th'= 1.626310E+14
t= 2.069550E-14	r= 8.687127E-08	r'= 6.130617E+07	r''= -3.151365E+22	th= 2.851750E+00	th'= 1.533717E+14
t= 2.071575E-14	r= 8.932879E-08	r'= 6.006399E+07	r''= -2.985673E+22	th= 2.857790E+00	th'= 1.450489E+14
t= 2.073600E-14	r= 9.173731E-08	r'= 5.888567E+07	r''= -2.835634E+22	th= 2.863509E+00	th'= 1.375325E+14
t= 2.075625E-14	r= 9.409931E-08	r'= 5.776529E+07	r''= -2.699205E+22	th= 2.868939E+00	th'= 1.307147E+14
t= 2.077650E-14	r= 9.641702E-08	r'= 5.669770E+07	r''= -2.574677E+22	th= 2.874105E+00	th'= 1.245059E+14
t= 2.079675E-14	r= 9.869248E-08	r'= 5.567839E+07	r''= -2.460611E+22	th= 2.879031E+00	th'= 1.188309E+14
